,Titlu,Pret
0,"Something's wrong with us, vol. ...","19,99LEI"
1,Abecedarul de umor,"4,99LEI"
2,Cite ceva despre semiotica,"2,99LEI"
3,"The Avengers, vol. 299","15,99LEI"
4,Fury at World's End,"7,99LEI"
5,Asylum,"17,99LEI"
6,Extermination!,"8,99LEI"
7,Journey to Sorrow's End,"13,99LEI"
8,Captives of the Boomerang,"17,99LEI"
9,"Nowhere to Run, Nowhere to Hide!","10,99LEI"
10,Final Confilct!,"12,99LEI"
11,Once Upon a Time...,"25,99LEI"
12,Feedback!,"8,99LEI"
13,"The Armageddon Trap!, part. 1","7,99LEI"
14,the Thunder God and the Bi-Beast,"12,99LEI"
15,Zambeste!,"72,99LEI"
16,"Blind Justice, part. 3","17,99LEI"
17,Tropica!,"8,99LEI"
18,Salvation,"13,99LEI"
19,Little Girl Lost,"13,99LEI"
20,To Stand Alone!,"25,99LEI"
21,"When Strikes Attuma?, vol. 154","25,99LEI"
22,Final Victory,"7,99LEI"
23,"Strikeforce: Morituri, vol. 7","7,99LEI"
24,"The Mighty Thor, vol. 402","13,99LEI"
25,Showtime,"13,99LEI"
26,"Classic X-men, vol. 6","22,99LEI"
27,Twinkle Twinkle,"13,99LEI"
28,"Excalibur, vol. 15","13,99LEI"
29,"Excalibur, vol. 2","8,99LEI"
30,On The Shadows Soul,"8,99LEI"
31,"Star Trek, vol. 36","15,99LEI"
32,"Justice League Europe, vol. 1","17,99LEI"
33,"Mighty World of Marvel (UK), vol...","7,99LEI"
34,"The Amazing Spider-Man, vol. 2","59,99LEI"
35,Watchmen,"55,99LEI"
36,"Los Divertidos vianjes de Pucca,...","29,99LEI"
37,Aventuri in Momilandia,"29,99LEI"
38,"Rahan, nr. 12","11,99LEI"
39,"Rahan, nr. 11","10,99LEI"
40,"Rahan, nr. 13","9,99LEI"
41,"Rahan, nr. 14","15,99LEI"
42,Spaima lui Rahan,"25,99LEI"
43,"Rahan, nr. 16","9,99LEI"
44,"Rahan, nr. 17","25,99LEI"
45,Patru-picioare,"22,99LEI"
46,"Rahan, nr. 26","13,99LEI"
47,"Rahan, nr. 25","14,99LEI"
48,"Rahan, nr. 24","25,99LEI"
49,"Rahan, nr. 27","11,99LEI"
50,Prizonierul marelui rau,"35,99LEI"
51,"Rahan, nr. 22","32,99LEI"
52,"Rahan, nr. 21","19,99LEI"
53,"Rahan, nr. 20","18,99LEI"
54,"Rahan, nr. 19","18,99LEI"
55,Matty in delta,"32,99LEI"
56,Stramosii,"44,99LEI"
57,Cincizeci de batrane,"26,99LEI"
58,Daredevil born again,"179,99LEI"
59,The coming of the falcon,"9,99LEI"
60,"Kenya, vol. 5","9,99LEI"
